,Artist,Song,Lyrics
20,Jim Morrison,To Come Of Age,"A military station in the desert.
Can we resolve the past -
Lurking jaws joints of time -
The base - to come of age in a dry place -
Holes and caves.
My friend drove an hour
Each day from the mountains.
The bus gives you a hard-on
With books in your lap.
Someone shot the bird
In the afternoon dance show.
They gave out free records
To the best couple.
Spades dance best, from the hip.EmbedShare URLCopyEmbedCopy"
21,Jim Morrison,Babylon Fading,"Then we hear a whistle
Like a boson's pipe
And the carnival immediately begins
Gradually mixing
Rain
Thunder
Bullfight
Football
Playground
War
Penny arcade
Babylon fadingEmbedShare URLCopyEmbedCopy"
22,Jim Morrison,Abortion Stories,"There’s blood in the streets, it’s up to my ankles
(She came)
There’s blood on the streets, it’s up to my knee
(She came)
Blood on the streets, in the town of Chicago
(She came)
Blood on the rise, it’s following me
Think about the break of day
She came and then she drove away
Sunlight in her hair
(She came)
Blood in the streets runs a river of sadness
(She came)
Blood in the streets it’s up to my thigh
(She came)
Yeah, the river runs red down the legs of the city
(She came)
The women are crying rivers of weepin’
She came into town and then she drove away
Sunlight in her hair
Indians scattered on dawn’s highway bleeding
Ghosts crowd the young child’s fragile eggshell mind
Blood in the streets in the town of New Haven
Blood stains the roofs and the palm trees of Venice
Blood in my love in the terrible summer
Bloody red sun of Phantastic L.A.
Blood screams the pain as they chop off her fingers
Blood will be born in the birth of a nation
Blood is the rose of mysterious union
There’s blood in the streets, it’s up to my ankles
Blood in the streets, it’s up to my knee
Blood in the streets in the town of Chicago
Blood on the rise, it’s following meEmbedShare URLCopyEmbedCopy"
23,Jim Morrison,Perceptual Notions,"Jim Morrison - Singer
The Doors
LA, San Francisco all open down the coast
West coast
The west is the best
The doors unconcious
The gap is getting wider, day by day
The doors the band you love to hate
Strange days
Death
Rebellion, chaos, disorder and activities that appears to have no meaning
A central theme or motive, a thread running through the songs, we dont have
But we deffinetily do have generate an atmosphere or mood which might be characterized as an awareness of the strange thats somethings wrong, somethings not quite right
Jim morrison
The older getting older and the younger getting .. getting somewhere
The doorsEmbedShare URLCopyEmbedCopy"
24,Jim Morrison,Roadhouse Rap,"Hey gentlemens, gentlemens
Now the subject of this song is, uh
Something all of you have seen
One time or another, it's an old roadhouse
Ahh we're down in the south, or in the midwest
Or maybe on the way to Bakersfield
And we're, we're drivin' in a '57 chevy
To an old roadhouse, can you dig it?
You know, it's about uhh 1:30
And we're not driving too fast
But we're not driving too slow either
We've got a six pack of beer in the car
A few joints, and we're just ahh listening
To the radio and driving to the old
Roadhouse, through nature, dig it?
Well, I want to tell you people about
Something I know . . 
Money beats soul, every time . . . C'monEmbedShare URLCopyEmbedCopy"
25,Jim Morrison,Adolf Hiltler,"Adolf Hitler is still alive
Ooooogh, sssssh
I slept with her last night
Yeah
Come out from behind
That false mustache, Adolf
I know you're in there
Ha, ha, ha, ha, ha, ha
You favor life
He sides with Death
I straddle the fence
"
26,Billie Eilish,​when the party’s over,"Don't you know I'm no good for you?
I've learned to lose you, can't afford to
Tore my shirt to stop you bleedin'
But nothin' ever stops you leavin'

Quiet when I'm coming home and I'm on my own
I could lie, say I like it like that, like it like that
I could lie, say I like it like that, like it like that

Don't you know too much already?
I'll only hurt you if you let me
Call me friend, but keep me closer (Call me back)
And I'll call you when the party's over

Quiet when I'm coming home and I'm on my own
And I could lie, say I like it like that, like it like that
Yeah, I could lie, say I like it like that, like it like that

But nothin' is better sometimes
Once we've both said our goodbyes
Let's just let it go
Let me let you go
Quiet when I'm coming home and I'm on my own
I could lie, say I like it like that, like it like that
"
27,Billie Eilish,​bad guy,"White shirt now red, my bloody nose
Sleepin', you're on your tippy toes
Creepin' around like no one knows
Think you're so criminal
Bruises on both my knees for you
Don't say thank you or please
I do what I want when I'm wanting to
My soul? So cynical

So you're a tough guy
Like it really rough guy
Just can't get enough guy
Chest always so puffed guy
I'm that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I'm the bad guy
Duh

I'm the bad guy

I like it when you take control
Even if you know that you don't
Own me, I'll let you play the role
I'll be your animal
My mommy likes to sing along with me
But she won't sing this song
If she reads all the lyrics
She'll pity the men I know
So you're a tough guy
Like it really rough guy
Just can't get enough guy
Chest always so puffed guy
I'm that bad type
Make your mama sad type
Make your girlfriend mad tight
Might seduce your dad type
I'm the bad guy
Duh

I'm the bad guy, duh
I'm only good at bein' bad, bad

I like when you get mad
I guess I'm pretty glad that you're alone
You said she's scared of me?
I mean, I don't see what she sees
But maybe it's 'cause I'm wearing your cologne

I'm a bad guy
I'm, I'm a bad guy
Bad guy, bad guy
"
28,Billie Eilish,​everything i wanted,"I had a dream
I got everything I wanted
Not what you'd think
And if I'm bein' honest
It might've been a nightmare
To anyone who might care
Thought I could fly (Fly)
So I stepped off the Golden, mm
Nobody cried (Cried, cried, cried, cried)
Nobody even noticed
I saw them standing right there
Kinda thought they might care (Might care, might care)

I had a dream
I got everything I wanted
But when I wake up, I see
You with me

And you say, ""As long as I'm here, no one can hurt you
Don't wanna lie here, but you can learn to
If I could change the way that you see yourself
You wouldn't wonder why you hear
'They don't deserve you'""
I tried to scream
But my head was underwater
They called me weak
Like I'm not just somebody's daughter
Coulda been a nightmare
But it felt like they were right there
And it feels like yesterday was a year ago
But I don't wanna let anybody know
'Cause everybody wants something from me now
And I don't wanna let 'em down

I had a dream
I got everything I wanted
But when I wake up, I see
You with me

And you say, ""As long as I'm here, no one can hurt you
Don't wanna lie here, but you can learn to
If I could change the way that you see yourself
You wouldn't wonder why you hear
'They don't deserve you'""

If I knew it all then, would I do it again?
Would I do it again?
If they knew what they said would go straight to my head
What would they say instead?
If I knew it all then, would I do it again?
Would I do it again?
If they knew what they said would go straight to my head
"
29,Billie Eilish,Happier Than Ever,"When I'm away from you
I'm happier than ever
Wish I could explain it better
I wish it wasn't true

Give me a day or two to think of something clever
To write myself a letter
To tell me what to do, mm-mm
Do you read my interviews?
Or do you skip my avenue?
When you said you were passin' through
Was I even on your way?
I knew when I asked you to (When I asked you to)
Be cool about what I was tellin' you
You'd do the opposite of what you said you'd do (What you said you'd do)
And I'd end up more afraid
Don't say it isn't fair
You clearly werеn't aware that you made me misеrable
So if you really wanna know

When I'm away from you (When I'm away from you)
I'm happier than ever (Happier than ever)
Wish I could explain it better (Wish I could explain it better)
I wish it wasn't true, mm-mm
You call me again, drunk in your Benz
Drivin' home under the influence
You scared me to death, but I'm wastin' my breath
'Cause you only listen to your fuckin' friends
I don't relate to you
I don't relate to you, no
'Cause I'd never treat me this shitty
You made me hate this city

And I don't talk shit about you on the internet
Never told anyone anything bad
'Cause that shit's embarrassing, you were my everything
And all that you did was make me fuckin' sad
So don't waste the time I don't have
And don't try to make me feel bad
I could talk about every time that you showed up on time
But I'd have an empty line 'cause you never did
Never paid any mind to my mother or friends, so I
Shut 'em all out for you 'cause I was a kid

You ruined everything good
Always said you were misunderstood
Made all my moments your own
Just fuckin' leave me alone, yeah (Fuck you)
(Ah)
(Goddamn)
(Ah)
(Fuck you)
"
